id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,monitor
1,http://strm112.1.fm/blues_mobile_mp3,"1.FM - Blues Radio",r,local,Blues,1.FM,English,Switzerland,Europe,192,MP3,No,"",No
2,https://21363.live.streamtheworld.com/2BOB.mp3,"2BOB Radio 104.7 FM",r,local,Alternative,"BOB 2.00",English,Australia,Asia,64,MP3,No,"",No
3,https://iheart.4zzz.org.au/4zzz,"4ZZZ FM 102.1 - Alternative",r,local,Alternative,"4ZZZ FM",English,Australia,Asia,128,MP3,No,"",No
4,http://54.173.171.80:8000/6forty,"6forty Radio",r,local,"Alternative, Post-Rock, Post-Metal, Modern, Experimental, Deep Indie","6forty Radio",English,"United States","North America",192,MP3,No,"",No
5,http://radio.stereoscenic.com/ama-h,"A.M. Ambient",r,local,"Electronica, Ambient",Stereoscenic,English,"United States","North America",256,MP3,No,"",No
6,http://live-radio01.mediahubaustralia.com/CTRW/mp3/,"ABC Country",r,local,Country,ABC,English,Australia,Asia,96,MP3,No,"",No
7,http://live-radio01.mediahubaustralia.com/JAZW/mp3/,"ABC Jazz",r,local,Jazz,ABC,English,Australia,Asia,96,MP3,No,"",No
8,https://edge68.live-sm.absolutradio.de/absolut-hot/stream/aacp?aggregator=smk-m3u-aac,"Absolut Hot",r,local,"Pop, Top 40, Chart, Electro, Hip Hop",Absolut,German,Germany,Europe,128,AAC,No,"",No
9,https://absolut-musicxl.live-sm.absolutradio.de/absolut-musicxl/stream/mp3,"Absolut music XL",r,local,"Pop, New Releases, Oldies, Rock, Pop",Absolut,German,Germany,Europe,128,MP3,No,"",No
10,https://edge56.live-sm.absolutradio.de/absolut-relax/stream/mp3,"Absolut Relax",r,local,"Pop, 80's, 90's",Absolut,German,Germany,Europe,128,MP3,No,"",No
11,http://radio.stereoscenic.com/asp-h,"Ambient Sleeping Pill",r,local,"Electronica, Ambient",Stereoscenic,English,"United States","North America",256,MP3,No,"",No
12,https://mediaserv73.live-streams.nl:18058/stream,"Ancient FM - Mediaeval and Renaissance Music",r,local,"Classical, Mediaeval, Renaissance","Ancient FM",English,Canada,"North America",128,MP3,No,"",No
13,https://stream.artsound.fm/mp3,"ArtSound FM 92.7",r,local,"Classical, Jazz, Folk, World Music","ArtSound FM",English,Australia,Asia,128,MP3,No,"",No
14,https://dispatcher.rndfnk.com/br/br2/live/mp3/mid,"Bayern 2",r,local,Eclectic,"Bayern Radio",German,Germany,Europe,128,MP3,No,"",No
15,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_asian_network/bbc_asian_network.isml/bbc_asian_network-audio%3d96000.norewind.m3u8,"BBC Asian Network",r,local,"Contemporary, Bollywood, Bhangra, Pop, Urban",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
16,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_asian_network/bbc_asian_network.isml/bbc_asian_network-audio%3d320000.norewind.m3u8,"BBC Asian Network (320K)",r,local,"Contemporary, Bollywood, Bhangra, Pop, Urban",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
17,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one/bbc_radio_one.isml/bbc_radio_one-audio%3d96000.norewind.m3u8,"BBC Radio 1",f,local,"Pop, Top 40, Chart",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
18,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_one/bbc_radio_one.isml/bbc_radio_one-audio%3d320000.norewind.m3u8,"BBC Radio 1 (320K)",r,local,"Pop, Top 40, Chart",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
19,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio%3d96000.norewind.m3u8,"BBC Radio 2",r,local,"Pop, Contemporary",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
20,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio%3d320000.norewind.m3u8,"BBC Radio 2 (320K)",r,local,"Pop, Contemporary",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
21,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio%3d96000.norewind.m3u8,"BBC Radio 3",r,local,"Classical, Jazz, World Music",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
22,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio%3d320000.norewind.m3u8,"BBC Radio 3 (320K)",r,local,"Classical, Jazz, World Music",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
23,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_fourfm/bbc_radio_fourfm.isml/bbc_radio_fourfm-audio%3d96000.norewind.m3u8,"BBC Radio 4 FM",r,local,"Spoken Word",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
24,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_fourfm/bbc_radio_fourfm.isml/bbc_radio_fourfm-audio%3d320000.norewind.m3u8,"BBC Radio 4 FM (320K)",r,local,"Spoken Word",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
25,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_five_live/bbc_radio_five_live.isml/bbc_radio_five_live-audio%3d96000.norewind.m3u8,"BBC Radio 5 live",r,local,"News, Discussion, Sports, Interviews, Phone-ins",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
26,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_five_live/bbc_radio_five_live.isml/bbc_radio_five_live-audio%3d320000.norewind.m3u8,"BBC Radio 5 live (320K)",r,local,"News, Discussion, Sports, Interviews, Phone-ins",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
27,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_radio_five_live_sports_extra/bbc_radio_five_live_sports_extra.isml/bbc_radio_five_live_sports_extra-audio%3d320000.norewind.m3u8,"BBC Radio 5 live sports extra (320K)",r,local,"News, Sports",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
28,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_6music/bbc_6music.isml/bbc_6music-audio%3d96000.norewind.m3u8,"BBC Radio 6 music",r,local,"Alternative, Rock, Funk",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
29,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_6music/bbc_6music.isml/bbc_6music-audio%3d320000.norewind.m3u8,"BBC Radio 6 music (320K)",r,local,"Alternative, Rock, Funk",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
30,https://dispatcher.rndfnk.com/br/brklassik/live/mp3/high,BR-Klassik,r,local,Classical,"Bayern Radio",German,Germany,Europe,192,MP3,No,"",No
31,https://legacy.scahw.com.au/2buddha_32,"Buddha Radio",r,local,"Chill Out",Buddah,English,Australia,Asia,32,MP3,No,"",No
32,https://bytefm.cast.addradio.de/bytefm/main/high/stream,ByteFM,r,local,Eclectic,Alsterradio,German,Germany,Europe,192,MP3,No,https://www.byte.fm/,No
33,http://msmn7.co:8018/stream,CDNX,r,local,Alternative,"Camden Market",English,"United Kingdom",Europe,256,MP3,No,"",No
34,http://media-ice.musicradio.com/ClassicFMMP3,"Classic FM",r,local,Classical,"Global Radio",English,"United Kingdom",Europe,128,MP3,No,"",No
35,https://rozhlas.stream/ddur_mp3_256.mp3,"Czech Radio Classical",r,local,Classical,"ČRo D-Dur",Czech,"Czech Republic",Europe,256,MP3,No,"",No
36,http://stream.dandelionradio.com:9414,"Dandelion Radio",r,local,Alternative,"Dandelion Radio",English,"United Kingdom",Europe,128,MP3,No,"",No
37,https://streaming04.liveboxstream.uk/proxy/davideof?mp=/stream,"Davide of MIMIC",f,local,Classical,"Davide of MIMIC Radio",English,"United Kingdom",Europe,320,MP3,No,"",No
38,http://live-icy.dr.dk/A/A03H.mp3,"DR P1",r,local,"News, Talk",DR,Danish,Denmark,Europe,192,MP3,No,"",No
39,http://live-icy.dr.dk/A/A04H.mp3,"DR P2",r,local,"Eclectic, Music, Culture",DR,Danish,Denmark,Europe,192,MP3,No,"",No
40,http://live-icy.dr.dk/A/A05H.mp3,"DR P3",r,local,"Pop, Rock",DR,Danish,Denmark,Europe,192,MP3,No,"",No
41,http://live-icy.dr.dk/A/A08H.mp3,"DR P4",r,local,"Pop, News",DR,Danish,Denmark,Europe,192,MP3,No,"",No
42,http://live-icy.dr.dk/A/A29H.mp3,"DR P6 Beat",r,local,"Alternative, Alt Rock, Rock",DR,Danish,Denmark,Europe,192,MP3,No,"",No
43,http://live-icy.dr.dk/A/A22H.mp3,"DR P8 Jazz",r,local,Jazz,DR,Danish,Denmark,Europe,192,MP3,No,"",No
44,https://DRliveradio.akamaized.net/hls/live/2022411/p8jazz/playlist-320000.m3u8,"DR P8 Jazz (320K)",r,local,Jazz,DR,Danish,Denmark,Europe,320,AAC,No,"",No
45,http://81.92.238.33:80,Eldoradio,r,local,"Pop, Top 40, Chart",Eldoradio,Luxembourgish,Luxembourg,Europe,256,MP3,No,"",No
46,https://fluxmusic.api.radiosphere.io/channels/FluxFM/stream.aac?quality=4,"FluxFM - Livestream",f,local,"News, Various Genres",FluxFM,German,Germany,Europe,64,AAC,No,"",No
47,http://streams.fluxfm.de/flx_2000/mp3-320/streams.fluxfm.de/,"FluxFM - 2000's Naughty",r,local,"2000's",FluxFM,German,Germany,Europe,320,MP3,No,"",No
48,https://streams.fluxfm.de/60er/mp3-320/streams.fluxfm.de/,"FluxFM - 60s",r,local,60s,FluxFM,German,Germany,Europe,320,MP3,No,"",No
49,http://streams.fluxfm.de/70er/mp3-320/audio/,"FluxFM - 70s",r,local,70s,FluxFM,German,Germany,Europe,320,MP3,No,"",No
